exerciseId,name,bodyParts,equipments,targetMuscles,broad_matched_terms,current_workout_type
gFyFj9z,덤벨 스텝업 런지,허벅지,덤벨,대퇴사두근,name:런,weight
Gn5FwYT,스태빌리티 볼 크런치 (풀 레인지 핸즈 비하인드 헤드),허리/복부,짐볼,복근,name:런,weight
HsjbB1z,스미스 스프린트 런지,허벅지,스미스 머신,둔근,name:런,weight
hvHhCv8,케이블 프런트 레이즈,어깨,케이블,삼각근,name:런,weight
iqH55N8,퍼스 스타일 포워드 런지,허벅지,맨몸,둔근,name:런,weight
IZVHb27,워킹 런지,허벅지,맨몸,둔근,name:런|name:워킹,weight
jpgqxiS,케이블 스탠딩 크런치,허리/복부,케이블,복근,name:런,weight
K9VL0Jq,런지 위드 트위스트,허리/복부,맨몸,복근,name:런,weight
kjJ3VoQ,크런치 (핸즈 오버헤드),허리/복부,맨몸,복근,name:런,weight
kMzUs9Y,포워드 런지 (남성),허벅지,맨몸,둔근,name:런,weight
Kzg30R7,밴드 스탠딩 크런치,허리/복부,밴드,복근,name:런,weight
MCUhf1F,크런치 (안정성 볼),허리/복부,짐볼,복근,name:런,weight
mWppALS,그로인 크런치,허리/복부,맨몸,복근,name:런,weight
Mz6lLcW,덤벨 런지 위드 바이셉 컬,상완,덤벨,이두근,name:런,weight
nCU1Ekp,리버스 크런치,허리/복부,맨몸,복근,name:런,weight
O95afRA,몬스터 워크,허벅지,맨몸,둔근,name:워크,weight
p0OCXGb,슬레드 45도 레그 와이드 프레스 - 블런트 변형,허벅지,슬레드 머신,둔근,name:런,weight
PM1PZjg,점프 런지,허벅지,맨몸,둔근,name:런,weight
PQ2AtC3,레버 시티드 레그 레이즈 크런치,허리/복부,레버리지 머신,복근,name:런,weight
pX9Elbe,메디신 볼 체스트 푸시 위드 런 릴리즈,가슴,메디신볼,대흉근,name:런,weight
py1HSzx,바벨 레터럴 런지,허벅지,바벨,둔근,name:런,weight
q2ADGqV,케이블 사이드 크런치,허리/복부,케이블,복근,name:런,weight
qatbkEd,케이블 사이드 벤드 크런치 (보수볼),허리/복부,케이블,복근,name:런,weight
Ql4g5s8,포워드 런지 (남성) 위드 벤치,허벅지,맨몸,둔근,name:런,weight
qPEzJjA,파머스 워크,허벅지,덤벨,대퇴사두근,name:워크,weight
QUDd8WS,오블리크 크런치 플로어,허리/복부,맨몸,복근,name:런,weight
R1WYG5D,서스펜디드 리버스 크런치,허리/복부,맨몸,복근,name:런,weight
rbu5UUb,크로스 바디 크런치,허리/복부,맨몸,복근,name:런,weight
RqOtqD7,케이블 리버스 크런치,허리/복부,케이블,복근,name:런,weight
RRWFUcw,덤벨 런지,허벅지,덤벨,둔근,name:런,weight
RYcV1kH,바벨 스쿼트 점프 스텝 리버스 런지,허벅지,바벨,대퇴사두근,name:런,weight
s8nrDXF,웨이티드 크런치,허리/복부,중량,복근,name:런,weight
SKXQAx3,롤러 리버스 크런치,허리/복부,롤러,복근,name:런,weight
Sn8wxAI,"크런치 (안정성 볼 위, 팔 곧게)",허리/복부,짐볼,복근,name:런,weight
SSsBDwB,덤벨 리버스 런지,허벅지,덤벨,둔근,name:런,weight
szIn2UK,네거티브 크런치,허리/복부,맨몸,복근,name:런,weight
t8iSghb,바벨 런지,허벅지,바벨,둔근,name:런,weight
TFqbd8t,크런치 플로어,허리/복부,맨몸,복근,name:런,weight
TXtXc84,케이블 턱 리버스 크런치,허리/복부,케이블,복근,name:런,weight
tZkGYZ9,밴드 바이시클 크런치,허리/복부,밴드,복근,name:런,weight
Uywa4S5,덤벨 런지 위드 펌,허벅지,덤벨,둔근,name:런,weight
VaP75jl,바벨 리어 런지,허벅지,바벨,둔근,name:런,weight
vN5HB0s,블런트 케이블 스탠딩 크런치,허리/복부,케이블,복근,name:런,weight
Wgaz7pm,레버 시티드 크런치,허리/복부,레버리지 머신,복근,name:런,weight
WKMQzCD,케틀벨 런지 패스 스루,허벅지,케틀벨,둔근,name:런,weight
WW95auq,케이블 니링 크런치,허리/복부,케이블,복근,name:런,weight
XalXcvM,덤벨 포워드 런지 트라이셉스 익스텐션,상완,덤벨,삼두근,name:런,weight
xAySMB0,밸런스 보드,허벅지,맨몸,대퇴사두근,name:런,weight
XE93sQZ,덤벨 스텝업 싱글 레그 밸런스 위드 바이셉스 컬 - 체어 베리에이션,상완,덤벨,이두근,name:런,weight
xmM75XG,웨이티드 오버헤드 크런치 (온 스테빌리티 볼),허리/복부,중량,복근,name:런,weight
XU3ePuv,케이블 스탠딩 크런치 (위드 로프 어태치먼트),허리/복부,케이블,복근,name:런,weight
Y9hNPcN,시티드 사이드 크런치 (벽),허리/복부,맨몸,복근,name:런,weight
ZnJHhMk,레버 시티드 크런치 (체스트 패드),허리/복부,레버리지 머신,복근,name:런,weight
