exerciseId,name,gifUrl,targetMuscles,secondaryMuscles,instructions,imageUrl,workout_type,met,bodyPartMajor,bodyPartMinor,equipmentCategory,equipmentDetail,equipmentOriginalDetail
0L2KwtI,롤러 힙 랫 스트레치,https://static.exercisedb.dev/media/0L2KwtI.gif,둔근,햄스트링 | quadriceps,"Step:1 롤러를 엉덩이 아래에 놓고 무릎을 꿇고 시작합니다. | Step:2 지지를 위해 롤러에 손을 댑니다. | Step:3 엉덩이를 펴고 둔근을 스트레칭하면서 롤러를 천천히 앞으로 굴립니다. | Step:4 몇 초 동안 스트레칭을 유지한 후, 시작 자세로 되돌립니다. | Step:5 원하는 횟수만큼 반복합니다.",https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/0L2KwtI.webp,weight,2.5,하체,허벅지,폼롤러,,롤러
0lQnxMZ,웨이티드 시시 스쿼트,https://static.exercisedb.dev/media/0lQnxMZ.gif,대퇴사두근,둔근 | 햄스트링 | 종아리,"Step:1 발을 어깨너비로 벌리고 발끝을 약간 바깥쪽으로 향하게 하고 섭니다. | Step:2 양손으로 가슴 앞에 무게를 들거나, 상부 등 뒤에 바벨을 올립니다. | Step:3 가슴을 들고 코어를 고정한 상태에서 무릎과 엉덩이를 구부려 몸을 천천히 내립니다. | Step:4 허벅지가 바닥과 평행이 되거나 편안하게 갈 수 있는 만큼 낮출 때까지 계속 내립니다. | Step:5 맨 아래에서 잠시 멈춘 후, 뒤꿈치를 밀어 시작 자세로 돌아갑니다. | Step:6 원하는 횟수만큼 반복합니다.",https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/0lQnxMZ.webp,weight,5.0,하체,허벅지,기타,중량,중량
0mB6wHO,러너스 스트레치,https://static.exercisedb.dev/media/0mB6wHO.gif,햄스트링,종아리 | quadriceps,"Step:1 발을 엉덩이 너비로 벌리고 섭니다. | Step:2 왼쪽 발을 고정한 상태에서 오른쪽 발로 앞으로 한 걸음 나아갑니다. | Step:3 오른쪽 무릎을 구부리고 왼쪽 다리를 곧게 편 상태로 몸을 내립니다. | Step:4 지지를 위해 오른쪽 허벅지에 손을 댑니다. | Step:5 20-30초 동안 스트레칭을 유지한 후, 반대쪽으로 전환하여 반복합니다.",https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/0mB6wHO.webp,weight,2.5,하체,허벅지,맨몸,,맨몸
0MlxeMn,젠틀 스타일 케이블 풀다운 (프로 랫 바),,광배근,이두근 | 전완근,"Step:1 허벅지가 바닥과 평행이 되고 발이 바닥에 평평하게 닿도록 좌석 높이를 조절합니다. | Step:2 어깨너비보다 약간 넓게 오버핸드 그립으로 랫 바를 잡습니다. | Step:3 앉아서 약간 뒤로 기울이면서 가슴을 들고 등을 곧게 폅니다. | Step:4 견갑골을 함께 조이면서 바를 가슴 쪽으로 당깁니다. 전체적으로 부드러운 자세를 유지합니다. | Step:5 동작의 가장 낮은 지점에서 잠시 멈춘 후, 천천히 바를 시작 자세로 다시 올립니다. | Step:6 원하는 횟수만큼 반복합니다.",,weight,5.0,등,,케이블 머신,,케이블
0rHfvy9,인버트 레그 컬 (풀업 케이블 머신),https://static.exercisedb.dev/media/0rHfvy9.gif,햄스트링,둔근 | 종아리,"Step:1 발목 스트랩이 가장 낮은 설정에 오도록 케이블 머신을 조절합니다. | Step:2 다리를 펴고 발목 스트랩을 발에 부착한 상태로 벤치에 엎드립니다. | Step:3 안정성을 위해 벤치 손잡이를 잡습니다. | Step:4 무릎을 구부리고 햄스트링을 조이면서 다리를 엉덩이 쪽으로 컬링합니다. | Step:5 동작의 최고 지점에서 잠시 멈춘 후, 천천히 다리를 시작 자세로 내립니다. | Step:6 원하는 횟수만큼 반복합니다.",https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/0rHfvy9.webp,weight,3.5,하체,허벅지,맨몸,,맨몸
0S75mYG,스미스 시티드 원 레그 카프 레이즈,https://static.exercisedb.dev/media/0S75mYG.gif,종아리,햄스트링,"Step:1 머신에 앉아 등받이에 등을 대고 발을 발판에 댑니다. | Step:2 한쪽 다리를 발판에 올리고 다른 다리는 발판에서 뗍니다. | Step:3 종아리 근육을 사용하여 발뒤꿈치를 최대한 높이 들어 올립니다. | Step:4 맨 위에서 잠시 멈춘 다음, 발뒤꿈치를 천천히 시작 자세로 다시 내립니다. | Step:5 원하는 횟수만큼 반복한 다음 다리를 바꿔 반복합니다.",https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/0S75mYG.webp,weight,5.0,하체,종아리,스미스 머신,,스미스 머신
0V2YQjW,풀업 (뉴트럴 그립),https://static.exercisedb.dev/media/0V2YQjW.gif,광배근,이두근 | 전완근,"Step:1 풀업 바에 뉴트럴 그립(손바닥이 서로 마주보게)으로 매달리고 팔을 완전히 뻗습니다. | Step:2 코어에 힘을 주고 어깨뼈를 함께 꽉 조입니다. | Step:3 팔꿈치를 구부리고 팔꿈치를 엉덩이 쪽으로 내리면서 몸을 바 쪽으로 당깁니다. | Step:4 턱이 바 위로 올라올 때까지 계속 당깁니다. | Step:5 맨 위에서 잠시 멈춘 다음, 통제력을 유지하면서 몸을 천천히 시작 자세로 다시 내립니다. | Step:6 원하는 횟수만큼 반복합니다.",https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/0V2YQjW.webp,weight,3.5,등,,맨몸,,맨몸
0xDpB4L,레지스탕스 밴드 시티드 힙 어브덕션,https://static.exercisedb.dev/media/0xDpB4L.gif,외전근,둔근 | 햄스트링,"Step:1 의자나 벤치에 등을 곧게 펴고 발을 바닥에 평평하게 대고 앉습니다. | Step:2 무릎 바로 위 허벅지에 저항 밴드를 감습니다. | Step:3 지지를 위해 의자나 벤치 옆면에 손을 댑니다. | Step:4 외전근(허벅지 바깥쪽 근육)에 힘을 주고 밴드의 저항에 맞서 무릎을 천천히 벌립니다. | Step:5 동작 끝에서 잠시 멈춘 다음, 무릎을 천천히 다시 모읍니다. | Step:6 원하는 횟수만큼 반복합니다.",https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/0xDpB4L.webp,weight,3.5,하체,허벅지,밴드,,저항 밴드
0Yz8WdV,베어 크롤,https://static.exercisedb.dev/media/0Yz8WdV.gif,심폐 지구력,코어 | 어깨 | 삼두근,"Step:1 네 발로 엎드린 자세에서 손은 어깨 바로 아래, 무릎은 엉덩이 바로 아래에 둡니다. | Step:2 등을 평평하게 유지하고 코어에 힘을 준 상태에서 무릎을 바닥에서 살짝 들어 올립니다. | Step:3 오른쪽 손과 왼쪽 발을 동시에 앞으로 움직인 다음, 왼쪽 손과 오른쪽 발을 움직입니다. | Step:4 손과 발의 움직임을 번갈아 가며 계속 앞으로 기어갑니다. | Step:5 꾸준한 속도를 유지하고 운동 내내 코어를 단단하게 유지합니다. | Step:6 원하는 거리나 시간 동안 계속합니다.",https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/0Yz8WdV.webp,cardio,3.5,유산소,,맨몸,,맨몸
10Z2DXU,슬레드 45도 레그 프레스,https://static.exercisedb.dev/media/10Z2DXU.gif,둔근,quadriceps | 햄스트링 | 종아리,"Step:1 슬레드 머신의 좌석과 발판을 편안한 위치로 조절합니다. | Step:2 슬레드 머신에 앉아 등받이에 등을 대고 발을 발판에 어깨너비로 벌립니다. | Step:3 안정성을 위해 좌석 옆의 손잡이를 잡습니다. | Step:4 발뒤꿈치를 발판에 댄 상태로 다리를 펴서 발판을 몸에서 밀어냅니다. | Step:5 무릎을 잠그지 않고 다리가 거의 완전히 펴질 때까지 계속 밉니다. | Step:6 동작의 맨 위에서 잠시 멈춘 다음, 무릎을 구부려 발판을 천천히 몸 쪽으로 다시 내립니다. | Step:7 원하는 횟수만큼 반복합니다.",https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/10Z2DXU.webp,weight,5.0,하체,허벅지,머신,슬레드 머신,슬레드 머신
11wrviz,아이소메트릭 와이퍼,https://static.exercisedb.dev/media/11wrviz.gif,대흉근,어깨 | 삼두근 | 코어,"Step:1 매트나 벤치에 등을 대고 평평하게 눕습니다. | Step:2 팔을 몸에 수직으로 옆으로 쭉 뻗습니다. | Step:3 코어에 힘을 주고 다리를 함께 곧게 편 상태로 바닥에서 들어 올립니다. | Step:4 통제력을 유지하면서 다리를 한쪽으로 천천히 내리고 발이 바닥에 닿도록 합니다. | Step:5 잠시 멈춘 다음, 코어를 사용하여 다리를 시작 자세로 다시 들어 올립니다. | Step:6 이번에는 다리를 반대쪽으로 내리면서 동작을 반복합니다. | Step:7 원하는 횟수만큼 번갈아 가며 계속합니다.",https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/11wrviz.webp,weight,3.5,가슴,,맨몸,,맨몸
13TpY4H,레이즈 싱글 암 푸시업,https://static.exercisedb.dev/media/13TpY4H.gif,대흉근,삼두근 | 어깨 | 코어,Step:1 푸시업 자세에서 손을 어깨너비보다 약간 넓게 벌리고 발을 모읍니다. | Step:2 한쪽 팔을 지면과 평행하게 옆으로 쭉 뻗습니다. | Step:3 등을 곧게 펴고 코어에 힘을 준 상태에서 팔꿈치를 구부려 몸을 바닥 쪽으로 내립니다. | Step:4 가슴 근육을 사용하여 몸을 들어 올려 시작 자세로 다시 밀어냅니다. | Step:5 다른 팔을 뻗어 반복합니다.,https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/13TpY4H.webp,weight,3.5,가슴,,맨몸,,맨몸
13VW2VO,웨이티드 스트레치 런지,https://static.exercisedb.dev/media/13VW2VO.gif,둔근,quadriceps | 햄스트링 | 종아리,Step:1 발을 어깨너비로 벌리고 섭니다. | Step:2 등을 곧게 편 상태로 오른쪽 발을 앞으로 내딛습니다. | Step:3 오른쪽 허벅지가 지면과 평행이 될 때까지 무릎을 구부려 몸을 내립니다. | Step:4 오른쪽 뒤꿈치로 밀어 시작 자세로 돌아옵니다. | Step:5 왼쪽 다리로 반복합니다. | Step:6 원하는 횟수만큼 다리를 번갈아 가며 계속합니다.,https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/13VW2VO.webp,weight,2.5,하체,허벅지,기타,중량,중량
17bqEXD,시티드 카프 스트레치 (남성),https://static.exercisedb.dev/media/17bqEXD.gif,종아리,햄스트링,Step:1 의자나 벤치 가장자리에 앉아 발을 바닥에 평평하게 댑니다. | Step:2 한쪽 다리를 앞으로 쭉 뻗고 발뒤꿈치를 바닥에 댑니다. | Step:3 종아리 근육이 늘어나는 것을 느끼며 몸을 살짝 앞으로 기울입니다. | Step:4 20-30초 동안 스트레칭을 유지합니다. | Step:5 다리를 바꿔 스트레칭을 반복합니다.,https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/17bqEXD.webp,weight,2.5,하체,종아리,맨몸,,맨몸
17lJ1kr,레버 라잉 레그 컬,https://static.exercisedb.dev/media/17lJ1kr.gif,햄스트링,종아리,Step:1 머신을 몸에 맞게 조절하고 원하는 무게를 선택합니다. | Step:2 다리를 곧게 펴고 발뒤꿈치를 패딩된 레버에 댄 상태로 머신에 엎드립니다. | Step:3 안정성을 위해 손잡이나 머신 측면을 잡습니다. | Step:4 상체를 고정한 상태에서 숨을 내쉬며 엉덩이를 패드에서 떼지 않고 가능한 한 다리를 위로 구부립니다. | Step:5 햄스트링을 쥐어짜면서 수축된 자세를 잠시 유지합니다. | Step:6 숨을 들이쉬면서 레버를 천천히 시작 자세로 다시 내립니다. | Step:7 원하는 횟수만큼 반복합니다.,https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/17lJ1kr.webp,weight,5.0,하체,허벅지,머신,레버리지 머신,레버리지 머신
196HJGw,힙 레이즈 (구부린 무릎),https://static.exercisedb.dev/media/196HJGw.gif,복근,둔근 | 햄스트링,"Step:1 무릎을 구부리고 발을 바닥에 평평하게 댄 상태로 등을 대고 눕습니다. | Step:2 손을 옆에 두고 손바닥을 아래로 향하게 합니다. | Step:3 코어와 둔근에 힘을 주고 엉덩이를 바닥에서 들어 올려 무릎부터 어깨까지 일직선이 되도록 합니다. | Step:4 맨 위에서 잠시 멈춘 다음, 엉덩이를 천천히 시작 자세로 다시 내립니다. | Step:5 원하는 횟수만큼 반복합니다.",https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/196HJGw.webp,weight,3.5,코어,허리 | 복부,맨몸,,맨몸
1bQkKZK,스미스 벤트 니 굿모닝,https://static.exercisedb.dev/media/1bQkKZK.gif,둔근,햄스트링 | lower back,Step:1 발을 어깨너비로 벌리고 발가락을 앞으로 향하게 하여 섭니다. | Step:2 바벨을 등 위쪽 승모근에 걸칩니다. | Step:3 무릎을 살짝 구부리고 등을 곧게 편 상태로 엉덩이에서 몸을 앞으로 숙입니다. | Step:4 햄스트링이 늘어나는 것을 느끼며 몸통이 지면과 평행이 될 때까지 내립니다. | Step:5 둔근과 햄스트링에 힘을 주어 몸통을 시작 자세로 다시 들어 올립니다. | Step:6 원하는 횟수만큼 반복합니다.,https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/1bQkKZK.webp,weight,5.0,하체,허벅지,스미스 머신,,스미스 머신
1cTf2Ux,이지 바 스탠딩 프렌치 프레스,https://static.exercisedb.dev/media/1cTf2Ux.gif,삼두근,어깨,"Step:1 발을 어깨너비로 벌리고 서서 오버핸드 그립으로 이지 바벨을 잡습니다. | Step:2 팔을 완전히 뻗어 바벨을 머리 위로 들어 올립니다. | Step:3 상완을 머리에 가깝게 유지하면서 팔꿈치를 구부려 바벨을 머리 뒤로 천천히 내립니다. | Step:4 잠시 멈춘 다음, 팔을 뻗어 시작 자세로 돌아옵니다. | Step:5 원하는 횟수만큼 반복합니다.",https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/1cTf2Ux.webp,weight,5.0,팔,상완,바벨,,EZ 바벨
1DN3iz4,스미스 업라이트 로우,https://static.exercisedb.dev/media/1DN3iz4.gif,삼각근,승모근 | 이두근,"Step:1 발을 어깨너비로 벌리고 스미스 머신을 향해 섭니다. | Step:2 어깨너비보다 약간 넓게 오버핸드 그립으로 바벨을 잡습니다. | Step:3 등을 곧게 펴고 코어에 힘을 줍니다. | Step:4 팔꿈치를 리드하며 바벨을 턱 쪽으로 당깁니다. | Step:5 맨 위에서 잠시 멈춘 다음, 바벨을 천천히 시작 자세로 다시 내립니다. | Step:6 원하는 횟수만큼 반복합니다.",https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/1DN3iz4.webp,weight,5.0,어깨,,스미스 머신,,스미스 머신
1g5bPpA,잭 점프 (남성),https://static.exercisedb.dev/media/1g5bPpA.gif,심폐 지구력,quadriceps | 종아리,Step:1 발을 모으고 팔을 옆구리에 둡니다. | Step:2 점프하면서 발을 벌리고 팔을 머리 위로 올립니다. | Step:3 착지하면서 빠르게 시작 자세로 돌아옵니다. | Step:4 원하는 횟수만큼 반복합니다.,https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/1g5bPpA.webp,cardio,3.5,유산소,,맨몸,,맨몸
1gFNTZV,바벨 점프 스쿼트,https://static.exercisedb.dev/media/1gFNTZV.gif,둔근,quadriceps | 햄스트링 | 종아리,"Step:1 발을 어깨너비로 벌리고 서서 등 위쪽에 바벨을 잡습니다. | Step:2 무릎을 구부리고 엉덩이를 뒤로 밀면서 몸을 스쿼트 자세로 낮춥니다. | Step:3 스쿼트 바닥에 도달하면 땅에서 뛰어올라 폭발적으로 움직입니다. | Step:4 점프하면서 엉덩이, 무릎, 발목을 펴고 발가락으로 밀어냅니다. | Step:5 스쿼트 자세로 부드럽게 착지하고 즉시 원하는 횟수만큼 반복합니다.",https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/1gFNTZV.webp,weight,5.0,하체,허벅지,바벨,,바벨
1GPHRyK,잔다 싯업,https://static.exercisedb.dev/media/1GPHRyK.gif,복근,고관절 굴곡근 | lower back,"Step:1 무릎을 구부리고 발바닥을 바닥에 대고 똑바로 눕습니다. | Step:2 손을 머리 뒤에 대고 팔꿈치를 바깥쪽으로 향하게 합니다. | Step:3 복근을 사용하여 상체를 천천히 들어 올리고, 몸통이 45도 각도가 될 때까지 앞으로 말아 올립니다. | Step:4 맨 위에서 잠시 멈춘 다음, 상체를 천천히 시작 자세로 다시 내립니다. | Step:5 원하는 횟수만큼 반복합니다.",https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/1GPHRyK.webp,weight,3.5,코어,허리 | 복부,맨몸,,맨몸
1IFV9h3,로우 암 푸시업 - 저항 변형,,삼두근,가슴 | 어깨,"Step:1 팔뚝을 바닥에 대고 팔꿈치가 어깨 바로 아래에 오도록 플랭크 자세를 취합니다. | Step:2 코어를 사용하고 머리부터 발끝까지 몸을 일직선으로 유지합니다. | Step:3 팔꿈치를 몸에 가깝게 유지하면서 팔꿈치를 구부려 가슴을 바닥 쪽으로 내립니다. 저항 조절을 강조합니다. | Step:4 바닥에서 잠시 멈춘 다음, 시작 자세로 다시 밀어 올립니다. | Step:5 원하는 횟수만큼 반복합니다.",,weight,3.5,팔,상완,맨몸,,맨몸
1IG6gVF,프론 트위스트 온 스태빌리티 볼,https://static.exercisedb.dev/media/1IG6gVF.gif,복근,obliques | lower back,Step:1 발을 어깨너비로 벌리고 발가락이 바닥에 닿도록 하여 안정성 볼 위에 얼굴을 아래로 향하게 눕습니다. | Step:2 손을 머리 뒤에 대거나 가슴 위에 교차합니다. | Step:3 코어 근육을 사용하고 등을 곧게 유지하면서 상체를 볼에서 천천히 들어 올립니다. | Step:4 몸통을 한쪽으로 회전시켜 어깨를 엉덩이 쪽으로 가져옵니다. 동작 내내 엉덩이와 다리를 안정적으로 유지합니다. | Step:5 잠시 멈춘 다음 시작 자세로 돌아갑니다. | Step:6 반대쪽으로 회전을 반복합니다. | Step:7 원하는 횟수만큼 번갈아 가며 반복합니다.,https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/1IG6gVF.webp,weight,3.5,코어,허리 | 복부,기타,짐볼,짐볼
1jXLYEw,스탠딩 레터럴 스트레치,https://static.exercisedb.dev/media/1jXLYEw.gif,광배근,어깨 | obliques,Step:1 발을 어깨너비로 벌리고 무릎을 살짝 구부리고 섭니다. | Step:2 팔을 바닥과 평행하게 옆으로 쭉 뻗습니다. | Step:3 상체를 천천히 한쪽으로 기울여 옆구리와 광배근의 스트레칭을 느낍니다. | Step:4 15-30초 동안 스트레칭을 유지합니다. | Step:5 시작 자세로 돌아가 반대쪽으로 반복합니다. | Step:6 원하는 횟수만큼 반복합니다.,https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/1jXLYEw.webp,weight,2.5,등,,맨몸,,맨몸
1kB3Wmk,덤벨 싱글 레그 카프 레이즈,https://static.exercisedb.dev/media/1kB3Wmk.gif,종아리,ankles,"Step:1 발뒤꿈치가 가장자리에 걸쳐지도록 계단이나 플랫폼 가장자리에 서서 발가락을 계단에 댑니다. | Step:2 한 손에 덤벨을 들고 다른 손은 벽이나 난간에 대어 지지합니다. | Step:3 발뒤꿈치를 가능한 한 높이 올려 발가락으로 몸을 들어 올립니다. | Step:4 맨 위에서 잠시 멈춘 다음, 발뒤꿈치를 계단 아래로 천천히 내립니다. | Step:5 원하는 횟수만큼 반복한 다음 다른 쪽 다리로 전환합니다.",https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/1kB3Wmk.webp,weight,5.0,하체,종아리,덤벨,,덤벨
